"name","country","count_total","count_accidents","percent_of_accidents"
"Ain Diab","Morocco","25","5",20
"Monsanto Park Circuit","Portugal","16","2",12.5
"Pescara Circuit","Italy","16","2",12.5
"Zolder","Belgium","282","35",12.411347517730496
"Long Beach","USA","220","27",12.272727272727273
"Montjuïc","Spain","84","10",11.904761904761903
"Indianapolis Motor Speedway","USA","573","60",10.471204188481675
"Detroit Street Circuit","USA","191","20",10.471204188481675
"Zeltweg","Austria","20","2",10
"Mosport International Raceway","Canada","198","17",8.585858585858585
"Rouen-Les-Essarts","France","94","7",7.446808510638298
"Circuit de Monaco","Monaco","1664","119",7.1514423076923075
"Circuit Bremgarten","Switzerland","100","7",7.000000000000001
"Circuit de Pedralbes","Spain","43","3",6.976744186046512
"Jarama","Spain","236","16",6.779661016949152
"AVUS","Germany","15","1",6.666666666666667
"Circuito da Boavista","Portugal","30","2",6.666666666666667
"Nürburgring","Germany","976","62",6.352459016393443
"Circuit Park Zandvoort","Netherlands","747","46",6.157965194109773
"Marina Bay Street Circuit","Singapore","298","18",6.0402684563758395
"Kyalami","South Africa","506","29",5.7312252964426875
"Sebring International Raceway","USA","19","1",5.263157894736842
"Nivelles-Baulers","Belgium","57","3",5.263157894736842
"Scandinavian Raceway","Sweden","159","8",5.031446540880504
"Las Vegas Strip Street Circuit","United States","20","1",5
"Watkins Glen","USA","485","24",4.948453608247423
"Circuit Mont-Tremblant","Canada","41","2",4.878048780487805
"Brands Hatch","UK","374","18",4.81283422459893
"Dijon-Prenois","France","171","8",4.678362573099415
"Fuji Speedway","Japan","91","4",4.395604395604396
"Circuit Gilles Villeneuve","Canada","1052","46",4.3726235741444865
"Riverside International Raceway","USA","23","1",4.3478260869565215
"Circuit de Spa-Francorchamps","Belgium","1238","53",4.281098546042003
"Baku City Circuit","Azerbaijan","142","6",4.225352112676056
"Adelaide Street Circuit","Australia","312","13",4.166666666666666
"Autódromo José Carlos Pace","Brazil","917","38",4.143947655398037
"Autódromo Juan y Oscar Gálvez","Argentina","448","18",4.017857142857143
"Fair Park","USA","26","1",3.8461538461538463
"Charade Circuit","France","78","3",3.8461538461538463
"Jeddah Corniche Circuit","Saudi Arabia","80","3",3.75
"Red Bull Ring","Austria","901","32",3.551609322974473
"Suzuka Circuit","Japan","791","27",3.4134007585335016
"Las Vegas Street Circuit","USA","60","2",3.3333333333333335
"Albert Park Grand Prix Circuit","Australia","577","19",3.2928942807625647
"Korean International Circuit","Korea","94","3",3.1914893617021276
"Autódromo do Estoril","Portugal","367","11",2.997275204359673
"Aintree","UK","138","4",2.898550724637681
"Autodromo Nazionale di Monza","Italy","1816","52",2.8634361233480177
"Buddh International Circuit","India","70","2",2.857142857142857
"Reims-Gueux","France","254","7",2.7559055118110236
"Silverstone Circuit","UK","1436","39",2.715877437325905
"Hockenheimring","Germany","935","25",2.6737967914438503
"Prince George Circuit","South Africa","75","2",2.666666666666667
"Circuit Paul Ricard","France","481","12",2.494802494802495
"Autódromo Internacional Nelson Piquet","Brazil","286","7",2.4475524475524475
"Hungaroring","Hungary","891","17",1.9079685746352413
"Autódromo Hermanos Rodríguez","Mexico","538","10",1.858736059479554
"Sochi Autodrom","Russia","163","3",1.8404907975460123
"Shanghai International Circuit","China","362","6",1.6574585635359116
"Autodromo Enzo e Dino Ferrari","Italy","775","12",1.5483870967741935
"Circuit de Nevers Magny-Cours","France","420","6",1.4285714285714286
"Circuit of the Americas","USA","226","3",1.3274336283185841
"Sepang International Circuit","Malaysia","412","4",0.9708737864077669
"Phoenix street circuit","USA","108","1",0.9259259259259258
"Valencia Street Circuit","Spain","112","1",0.8928571428571428
"Bahrain International Circuit","Bahrain","440","3",0.6818181818181818
"Circuit de Barcelona-Catalunya","Spain","759","5",0.6587615283267457
"Yas Marina Circuit","UAE","316","2",0.6329113924050633
"Circuito de Jerez","Spain","204","1",0.49019607843137253
